GRAM5_NEGATIVE_CONTROL_OK new axiom: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_NEGATIVE_CONTROL_OK axiom only in proof body: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_NEGATIVE_CONTROL_OK missing proof dependency: missing raw dependency: Gram5AuditNegative.doesNotExist
GRAM5_NEGATIVE_CONTROL_OK standard name with altered type: nonstandard axiom type: propext
GRAM5_NEGATIVE_CONTROL_OK standard name with altered universe arity: unexpected axiom or universe arity: propext
GRAM5_NEGATIVE_CONTROL_OK excluded declaration safety Lean.DefinitionSafety.unsafe: unsafe or partial dependency: Gram5AuditNegative.operationalRoot
GRAM5_NEGATIVE_CONTROL_OK excluded declaration safety Lean.DefinitionSafety.partial: unsafe or partial dependency: Gram5AuditNegative.operationalRoot
GRAM5_NEGATIVE_CONTROL_OK every expression-bearing syntax position was traversed
GRAM5_NEGATIVE_CONTROL_OK altered stored theorem body is detected by exact comparison
GRAM5_NEGATIVE_CONTROL_OK stored theorem with changed type: stored theorem differs in non-body fields
GRAM5_NEGATIVE_CONTROL_OK stored theorem replaced by an axiom: stored declaration differs outside the theorem-body case
GRAM5_NEGATIVE_CONTROL_OK stored proof refers back to its original name: stored theorem variant depends on its original name: Gram5AuditNegative.circularStoredVariant
GRAM5_NEGATIVE_CONTROL_OK new axiom in an alternate stored proof: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_PROJECT_MODULE PBCounterexample.Basic records=41
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.sup.elim
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.sup.injEq
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.eval_leaf
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.sup.sizeOf_spec
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.IsPolynomialLattice
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.ctorElim
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.eval_inf
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.recOn
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.sup.inj
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.leaf.elim
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.leaf.injEq
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.leaf.sizeOf_spec
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.eval._f
GRAM5_PROJECT_DECL PBCounterexample.Basic constructor PBCounterexample.LatticeExpr.leaf
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr._sizeOf_1
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.leaf.inj
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.eval._sunfold
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.leaf.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.below
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.brecOn
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.eval
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.casesOn
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.brecOn.eq
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.sup.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.ctorIdx
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr._sizeOf_inst
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.eval_sup
GRAM5_PROJECT_DECL PBCounterexample.Basic inductive PBCounterexample.LatticeExpr
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.noConfusionType
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.inf.elim
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.inf.injEq
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.inf.sizeOf_spec
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.eval.match_1
GRAM5_PROJECT_DECL PBCounterexample.Basic constructor PBCounterexample.LatticeExpr.inf
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.ctorElimType
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.brecOn.go
GRAM5_PROJECT_DECL PBCounterexample.Basic theorem PBCounterexample.LatticeExpr.inf.inj
GRAM5_PROJECT_DECL PBCounterexample.Basic constructor PBCounterexample.LatticeExpr.sup
GRAM5_PROJECT_DECL PBCounterexample.Basic recursor PBCounterexample.LatticeExpr.rec
GRAM5_PROJECT_DECL PBCounterexample.Basic definition PBCounterexample.LatticeExpr.inf.noConfusion
GRAM5_PROJECT_MODULE PBCounterexample.FiniteExpressions records=6
GRAM5_PROJECT_DECL PBCounterexample.FiniteExpressions theorem PBCounterexample.IsPolynomialLattice.max
GRAM5_PROJECT_DECL PBCounterexample.FiniteExpressions theorem PBCounterexample.IsPolynomialLattice.finite_sup
GRAM5_PROJECT_DECL PBCounterexample.FiniteExpressions theorem PBCounterexample.polynomial_isPolynomialLattice
GRAM5_PROJECT_DECL PBCounterexample.FiniteExpressions theorem PBCounterexample.IsPolynomialLattice.finite_inf
GRAM5_PROJECT_DECL PBCounterexample.FiniteExpressions theorem PBCounterexample.IsPolynomialLattice.min
GRAM5_PROJECT_DECL PBCounterexample.FiniteExpressions theorem PBCounterexample.finite_sup_inf_polynomials_isPolynomialLattice
GRAM5_PROJECT_MODULE PBCounterexample.Semialgebraic records=48
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.below.inter
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.polynomial_le
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.mk.injEq
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.ctorIdx
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover._sizeOf_inst
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.covers
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.iInter
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.mk.sizeOf_spec
